ASR78944.1,-,0038400,88946,5.2e-06,20.8,0.0,1.1e-05,19.7,0.0,1.6,1,0,0,1,1,1,1,RNA polymerase sigma factor [Bacillus phage AaronPhadgers]
QEG04257.1,-,0038400,88946,5.3e-08,26.8,0.0,9.9e-08,25.9,0.0,1.5,1,0,0,1,1,1,1,RNA polymerase sigma factor [Bacillus phage BC-T25]
AXU41213.1,-,0038400,88946,3.7e-06,20.9,0.0,7.1e-06,20.1,0.0,1.5,1,0,0,1,1,1,1,RNA polymerase sigma factor [Bacillus phage BC01]
AUM58962.1,-,0038400,88946,1.2e-06,22.4,0.0,2e-06,21.7,0.0,1.4,1,0,0,1,1,1,1,DNA replication/modification protein [Bacillus phage BCP01]
AQN32487.1,-,0038400,88946,1.4e-06,22.2,0.0,3e-06,21.2,0.0,1.6,1,0,0,1,1,1,1,RNA polymerase sporulation specific sigma factor SigG [Bacillus phage BCP12]
AEW47116.1,-,0038400,88946,1.4e-06,22.2,0.0,2.9e-06,21.2,0.0,1.6,1,0,0,1,1,1,1,putative RNA polymerase sigma 28 subunit SigG [Bacillus phage BCP78]
AEW47605.1,-,0038400,88946,1.4e-06,22.2,0.0,2.9e-06,21.2,0.0,1.6,1,0,0,1,1,1,1,putative RNA polymerase sigma 28 subunit SigG [Bacillus phage BCU4]
ANM46154.1,-,0038400,88946,3.7e-06,21.2,0.0,8.7e-06,20.1,0.0,1.7,1,0,0,1,1,1,1,RNA polymerase sigma factor [Bacillus phage Belinda]
QDH49898.1,-,0038400,88946,4.5e-06,21.0,0.0,7.7e-06,20.3,0.0,1.4,1,0,0,1,1,1,1,sigma factor [Bacillus phage Beyonphe]
AOZ61848.1,-,0038400,88946,5.1e-06,20.8,0.0,1.1e-05,19.8,0.0,1.6,1,0,0,1,1,1,1,RNA polymerase sigma factor [Bacillus phage BJ4]
AII27990.1,-,0038400,88946,2.8e-07,24.5,0.0,6.1e-07,23.5,0.0,1.6,1,0,0,1,1,1,1,RNA polymerase sigma factor [Bacillus phage Bobb]
AHJ87470.1,-,0038400,88946,9e-08,25.9,0.0,1.9e-07,24.8,0.0,1.6,1,0,0,1,1,1,1,putative RNA polymerase sigma factor SigF 1 [Bacillus phage Bp8p-C]
AHJ87681.1,-,0038400,88946,9e-08,25.9,0.0,1.9e-07,24.8,0.0,1.6,1,0,0,1,1,1,1,putative RNA polymerase sigma factor SigF 1 [Bacillus phage Bp8p-T]
ASR78776.1,-,0038400,88946,1.7e-06,22.4,0.0,3.7e-06,21.3,0.0,1.6,1,0,0,1,1,1,1,RNA polymerase sigma factor [Bacillus phage Bubs]
QEM43258.1,-,0038400,88946,1.4e-07,25.7,0.0,3.2e-07,24.6,0.0,1.6,1,0,0,1,1,1,1,RNA polymerase sigma factor [Bacillus phage Chotacabras]
